trial_num,running_away_dur
2,33.291
5,4.264
8,1.75
9,5.404
11,5.754
16,11.966
17,1.534
18,11.306
19,6.249
24,2.316
25,11.247
26,2.101
29,10.796
30,6.999
32,1.748
33,19.996
34,1.255
35,1.497
37,11.497
39,10.004
40,11.514
41,2.001
42,4.746
44,5.709
49,11.021
53,1
57,1.001
59,8.51
60,2.251
63,0.502
64,1
72,14.512
73,13.499
80,0.751
81,0.277
82,1.497
85,15.517
88,14.001
90,0.248
91,0.748
92,4.76
94,15.475
95,1.004
101,2.002
106,5.502
111,11.266
112,6.246
116,1.001
117,3.006
119,0.998
123,0.998
127,16.019
128,0.253
129,0.494
132,4.501
133,0.999
135,2.002
136,6.254
137,6.768
142,16.257
144,65.536
147,0.498
148,8.01
149,1.5
151,11.748
153,2.751
154,3.263
155,1.249
156,0.998
158,7.503
162,7.757
163,7.499
164,1.499
168,24.69
