day,treatment,batch,trial_num
4,virgin,2,1
4,focal,2,2
3,focal,1,3
3,virgin,1,4
3,focal,1,5
2,virgin,1,6
3,focal,1,7
2,focal,1,8
4,virgin,2,9
1,focal,1,11
2,virgin,1,12
4,virgin,1,13
5,focal,2,14
5,virgin,2,15
4,focal,2,16
5,focal,1,17
6,focal,2,18
6,virgin,2,19
6,virgin,1,20
4,focal,1,21
5,virgin,1,22
1,focal,2,23
5,focal,2,24
3,focal,1,25
5,focal,1,26
2,virgin,1,27
1,virgin,2,28
6,focal,2,29
4,virgin,1,30
5,virgin,1,31
3,focal,1,32
6,virgin,2,33
5,focal,2,34
5,focal,1,35
4,virgin,1,36
1,virgin,2,37
2,virgin,1,38
4,virgin,1,39
5,focal,1,40
6,focal,2,41
6,focal,2,42
1,focal,2,43
4,focal,2,44
5,virgin,1,45
2,focal,1,46
3,virgin,1,48
6,focal,1,49
3,focal,1,50
3,virgin,1,51
6,focal,2,53
5,virgin,2,54
6,virgin,1,55
1,focal,1,56
4,virgin,2,57
5,focal,1,59
1,virgin,2,60
1,virgin,1,61
3,focal,2,63
1,virgin,1,64
2,virgin,2,65
3,virgin,1,66
2,virgin,2,67
2,focal,1,68
1,focal,2,69
2,focal,2,70
2,virgin,1,71
3,virgin,2,72
4,focal,2,73
2,virgin,1,75
5,virgin,1,76
6,virgin,2,77
3,virgin,1,78
1,focal,2,79
2,virgin,2,80
2,virgin,2,81
6,virgin,1,82
5,virgin,2,83
2,virgin,2,84
5,virgin,2,85
3,virgin,1,86
4,focal,2,87
6,focal,2,88
6,virgin,1,89
4,virgin,2,90
6,virgin,1,91
4,focal,2,92
4,virgin,1,93
1,focal,1,94
6,virgin,2,95
4,virgin,2,96
2,virgin,1,97
2,virgin,2,98
6,virgin,1,99
4,focal,1,100
5,focal,2,101
3,virgin,2,104
1,virgin,1,105
1,focal,2,106
5,virgin,2,107
2,focal,1,108
2,focal,1,109
1,focal,2,110
6,focal,1,111
6,focal,1,112
4,virgin,1,113
6,focal,1,115
1,virgin,1,116
4,focal,1,117
4,virgin,2,118
3,virgin,2,119
5,focal,2,120
5,virgin,2,121
1,focal,1,123
3,focal,2,124
3,virgin,1,125
1,virgin,2,126
2,focal,2,127
5,focal,1,128
3,virgin,2,129
5,virgin,1,130
1,virgin,2,131
4,focal,1,132
3,focal,2,133
5,virgin,1,134
6,focal,1,135
3,focal,2,136
5,focal,2,137
2,focal,2,138
1,virgin,2,139
4,virgin,1,140
2,focal,1,141
4,focal,1,142
3,virgin,2,143
6,focal,1,144
1,virgin,1,145
2,focal,2,146
3,focal,2,147
4,focal,1,148
2,focal,1,149
3,focal,1,150
1,virgin,1,151
5,focal,1,152
3,focal,2,153
6,virgin,2,154
2,focal,2,155
3,virgin,2,156
2,focal,2,157
4,focal,1,158
1,focal,2,159
1,focal,1,160
1,focal,1,161
1,virgin,1,162
6,focal,1,163
1,focal,1,164
6,virgin,1,165
5,virgin,1,167
6,virgin,2,168
