trial_num,insem_start,trial_end,insem_dur
1,76.11,135.105,58.995
2,478.91,502.675,23.765
3,89.637,154.884,65.247
4,27.616,74.124,46.508
5,258.133,284.886,26.753
6,49.133,121.915,72.782
7,82.106,116.858,34.752
8,159.169,194.92,35.751
9,65.243,127.885,62.642
11,1041.933,1101.691,59.758
12,233.675,345.407,111.732
13,41.921,98.418,56.497
14,78.906,137.431,58.525
15,50.93,104.684,53.754
16,123.929,164.919,40.99
17,43.329,71.948,28.619
18,146.031,174.75,28.719
20,69.443,159.174,89.731
21,46.672,94.187,47.515
22,62.432,104.923,42.491
23,62.434,117.928,55.494
24,72.403,106.175,33.772
25,972.937,1011.689,38.752
26,109.925,132.672,22.747
27,122.938,210.904,87.966
28,79.408,162.414,83.006
29,528.187,629.94,101.753
31,105.93,166.922,60.992
32,605.416,655.41,49.994
33,688.425,785.926,97.501
34,48.679,88.683,40.004
36,44.677,97.935,53.258
39,189.682,253.676,63.994
40,101.928,144.173,42.245
41,68.435,99.925,31.49
42,125.436,168.691,43.255
43,81.907,154.157,72.25
44,82.158,121.413,39.255
45,42.924,100.421,57.497
46,209.409,261.186,51.777
48,81.916,130.934,49.018
49,1018.17,1049.676,31.506
51,25.415,94.415,69
53,238.175,286.662,48.487
54,85.162,123.917,38.755
55,207.66,237.664,30.004
57,70.187,116.194,46.007
59,132.94,248.916,115.976
60,83.41,148.161,64.751
61,255.932,338.678,82.746
63,109.673,141.429,31.756
64,360.419,435.168,74.749
65,119.434,184.928,65.494
66,53.182,93.441,40.259
67,34.171,96.927,62.756
68,101.669,142.423,40.754
69,374.17,533.682,159.512
70,22.164,55.421,33.257
71,83.909,140.165,56.256
72,109.674,155.926,46.252
73,226.416,254.673,28.257
75,268.44,340.415,71.975
76,510.181,567.439,57.258
77,185.178,247.68,62.502
78,339.155,409.172,70.017
79,100.419,178.924,78.505
80,116.937,180.429,63.492
81,65.188,134.905,69.717
82,91.414,143.909,52.495
83,200.692,274.184,73.492
84,71.905,132.405,60.5
86,34.414,88.926,54.512
87,213.686,260.423,46.737
88,646.181,668.934,22.753
89,147.16,205.664,58.504
90,153.664,207.67,54.006
91,74.415,148.413,73.998
92,48.676,72.909,24.233
93,62.933,115.18,52.247
94,180.927,239.183,58.256
95,55.182,131.686,76.504
96,21.409,102.675,81.266
97,67.933,105.186,37.253
98,243.679,332.156,88.477
99,191.682,255.188,63.506
100,58.687,100.689,42.002
101,336.914,383.664,46.75
104,107.933,148.68,40.747
105,99.42,164.189,64.769
106,484.164,547.415,63.251
107,173.674,256.433,82.759
108,285.414,344.17,58.756
109,135.687,172.193,36.506
110,51.176,96.927,45.751
111,252.43,286.939,34.509
112,671.66,700.662,29.002
113,99.166,247.669,148.503
115,123.432,166.693,43.261
117,99.418,141.171,41.753
118,71.69,131.155,59.465
120,32.42,50.424,18.004
121,69.441,159.19,89.749
123,89.169,152.917,63.748
124,75.658,101.672,26.014
125,79.409,133.17,53.761
126,122.678,167.193,44.515
127,108.171,154.934,46.763
128,39.672,71.174,31.502
129,246.423,302.932,56.509
130,55.428,89.178,33.75
131,43.424,111.688,68.264
132,148.408,195.165,46.757
133,62.185,90.692,28.507
134,127.184,198.934,71.75
135,162.919,221.172,58.253
136,104.931,127.435,22.504
137,126.432,169.938,43.506
138,170.421,204.679,34.258
139,51.429,135.68,84.251
140,33.924,73.434,39.51
141,213.408,262.674,49.266
142,346.661,373.161,26.5
143,620.668,669.169,48.501
145,243.428,499.679,256.251
146,220.916,298.676,77.76
147,208.405,259.686,51.281
148,128.437,194.935,66.498
149,177.175,234.422,57.247
150,46.175,62.933,16.758
151,344.413,460.173,115.76
152,77.936,103.192,25.256
153,43.174,83.427,40.253
154,257.18,341.186,84.006
155,130.438,181.431,50.993
156,746.419,823.671,77.252
157,106.424,193.924,87.5
158,192.937,227.669,34.732
159,57.937,115.93,57.993
160,264.62,323.13,58.51
161,317.633,390.388,72.755
162,247.374,288.89,41.516
163,87.903,109.666,21.763
164,134.133,180.104,45.971
165,209.365,312.13,102.765
167,31.37,88.377,57.007
168,573.043,645.797,72.754
