replicate,male_ID,female_ID,weight
1,I,R,0.5
1,D,O,1
1,D,P,1
1,D,Q,1
1,F,V,1
1,G,N,1
1,K,R,1
2,B,R,0.5
2,E,Q,0.5
2,G,V,0.5
2,I,M,0.5
2,K,T,0.666666667
2,A,R,1
2,B,O,1
2,C,N,1
2,C,Q,1
2,D,T,1
2,D,V,1
2,E,R,1
2,E,V,1
2,G,M,1
2,G,N,1
2,G,O,1
2,G,R,1
2,H,N,1
2,H,O,1
2,I,Q,1
2,I,R,1
2,K,O,1
2,L,N,1
2,L,Q,1
2,L,R,1
2,L,V,1
3,E,M,0.5
3,K,N,0.5
3,A,V,1
3,F,V,1
3,H,M,1
3,H,Q,1
3,H,R,1
4,K,Q,0.5
4,A,O,1
4,A,T,1
4,A,X,1
4,B,N,1
4,B,S,1
4,C,U,1
4,D,O,1
4,D,V,1
4,D,X,1
4,I,M,1
4,J,S,1
4,J,V,1
4,L,S,1
5,J,V,0.666666667
5,A,R,1
5,B,P,1
5,B,R,1
5,B,X,1
5,C,Q,1
5,C,T,1
5,C,V,1
5,C,W,1
5,E,N,1
5,E,T,1
5,E,U,1
5,G,M,1
5,G,N,1
5,G,P,1
5,G,Q,1
5,G,T,1
5,G,V,1
5,H,M,1
5,H,O,1
5,I,O,1
5,I,R,1
5,I,S,1
5,I,U,1
5,I,V,1
5,J,M,1
5,J,N,1
5,J,R,1
5,L,Q,1
5,L,V,1
