replicate,ID,sex,size,treatment,mounts,evades,aborts,possible_aborts,evade_rate,abort_rate,insem_status,insem_mount_ratio
1,A,male,,NA,,,,,,,NA,
1,B,male,,NA,,,,,,,NA,
1,C,male,,NA,,,,,,,NA,
1,D,male,,NA,,,,,,,NA,
1,E,male,,NA,,,,,,,NA,
1,F,male,,NA,,,,,,,NA,
1,G,male,,NA,,,,,,,NA,
1,H,male,,NA,,,,,,,NA,
1,I,male,,NA,,,,,,,NA,
1,J,male,,NA,,,,,,,NA,
1,K,male,,NA,,,,,,,NA,
1,L,male,,NA,,,,,,,NA,
1,M,female,,recently,0,0,0,0,NA,NA,N,NA
1,N,female,,recently,1,0,1,1,0,1,N,1
1,O,female,,recently,3,0,3,3,0,1,N,0.333333333
1,P,female,,recently,4,3,1,1,0.75,1,N,0.25
1,Q,female,,recently,2,1,1,1,0.5,1,N,0.5
1,R,female,,recently,1,0,0,1,0,0,Y,1
1,S,female,,distantly,1,0,0,1,0,0,Y,1
1,T,female,,distantly,1,0,0,1,0,0,Y,1
1,U,female,,distantly,1,0,0,1,0,0,Y,1
1,V,female,,distantly,2,0,1,2,0,0.5,Y,0.5
1,W,female,,distantly,2,1,0,1,0.5,0,Y,0.5
1,X,female,,distantly,2,2,0,1,1,,Y,0.5
2,A,male,,NA,,,,,,,NA,
2,B,male,,NA,,,,,,,NA,
2,C,male,,NA,,,,,,,NA,
2,D,male,,NA,,,,,,,NA,
2,E,male,,NA,,,,,,,NA,
2,F,male,,NA,,,,,,,NA,
2,G,male,,NA,,,,,,,NA,
2,H,male,,NA,,,,,,,NA,
2,I,male,,NA,,,,,,,NA,
2,J,male,,NA,,,,,,,NA,
2,K,male,,NA,,,,,,,NA,
2,L,male,,NA,,,,,,,NA,
2,M,female,,recently,1,0,0,1,0,0,Y,1
2,N,female,,recently,1,0,0,1,0,0,Y,1
2,O,female,,recently,1,0,0,1,0,0,Y,1
2,P,female,,recently,1,0,0,1,0,0,Y,1
2,Q,female,,recently,1,0,0,1,0,0,Y,1
2,R,female,,recently,1,0,0,1,0,0,Y,1
2,S,female,,distantly,0,0,0,0,NA,NA,N,NA
2,T,female,,distantly,1,0,0,1,0,0,Y,1
2,U,female,,distantly,1,0,0,1,0,0,Y,1
2,V,female,,distantly,2,0,0,1,0,0,Y,0.5
2,W,female,,distantly,1,0,1,2,0,0.5,Y,1
2,X,female,,distantly,0,0,0,0,NA,NA,N,NA
3,A,male,,NA,,,,,,,NA,NA
3,B,male,,NA,,,,,,,NA,NA
3,C,male,,NA,,,,,,,NA,NA
3,D,male,,NA,,,,,,,NA,NA
3,E,male,,NA,,,,,,,NA,NA
3,F,male,,NA,,,,,,,NA,NA
3,G,male,,NA,,,,,,,NA,NA
3,H,male,,NA,,,,,,,NA,NA
3,I,male,,NA,,,,,,,NA,NA
3,J,male,,NA,,,,,,,NA,NA
3,K,male,,NA,,,,,,,NA,NA
3,L,male,,NA,,,,,,,NA,NA
3,M,female,,recently,4,1,2,3,0.25,0.666666667,Y,0.25
3,N,female,,recently,1,0,0,1,0,0,Y,1
3,O,female,,recently,1,1,0,0,1,NA,Y,1
3,P,female,,recently,1,1,0,0,1,NA,Y,1
3,Q,female,,recently,1,0,1,1,0,1,Y,1
3,R,female,,recently,2,1,0,1,0.5,0,Y,0.5
3,S,female,,distantly,3,2,0,1,0.666666667,0,Y,0.333333333
3,T,female,,distantly,0,0,0,0,NA,NA,N,NA
3,U,female,,distantly,1,0,0,1,0,0,Y,1
3,V,female,,distantly,2,0,2,2,0,1,N,0.5
3,W,female,,distantly,0,0,0,0,NA,NA,N,NA
3,X,female,,distantly,0,0,0,0,NA,NA,N,NA
4,A,male,,NA,,,,,,,NA,NA
4,B,male,,NA,,,,,,,NA,NA
4,C,male,,NA,,,,,,,NA,NA
4,D,male,,NA,,,,,,,NA,NA
4,E,male,,NA,,,,,,,NA,NA
4,F,male,,NA,,,,,,,NA,NA
4,G,male,,NA,,,,,,,NA,NA
4,H,male,,NA,,,,,,,NA,NA
4,I,male,,NA,,,,,,,NA,NA
4,J,male,,NA,,,,,,,NA,NA
4,K,male,,NA,,,,,,,NA,NA
4,L,male,,NA,,,,,,,NA,NA
4,M,female,,recently,1,1,0,1,,,Y,1
4,N,female,,recently,1,0,0,1,,,Y,1
4,O,female,,recently,9,8,2,2,,,N,0.111111111
4,P,female,,recently,0,0,0,0,,,N,NA
4,Q,female,,recently,2,0,1,2,,,Y,0.5
4,R,female,,recently,3,3,0,0,,,N,0.333333333
4,S,female,,distantly,1,0,0,1,,,Y,1
4,T,female,,distantly,1,0,0,1,,,Y,1
4,U,female,,distantly,1,0,0,1,,,Y,1
4,V,female,,distantly,1,0,0,1,,,Y,1
4,W,female,,distantly,0,0,0,0,,,N,NA
4,X,female,,distantly,1,0,0,1,,,Y,1
5,A,male,,NA,,,,,,,NA,NA
5,B,male,,NA,,,,,,,NA,NA
5,C,male,,NA,,,,,,,NA,NA
5,D,male,,NA,,,,,,,NA,NA
5,E,male,,NA,,,,,,,NA,NA
5,F,male,,NA,,,,,,,NA,NA
5,G,male,,NA,,,,,,,NA,NA
5,H,male,,NA,,,,,,,NA,NA
5,I,male,,NA,,,,,,,NA,NA
5,J,male,,NA,,,,,,,NA,NA
5,K,male,,NA,,,,,,,NA,NA
5,L,male,,NA,,,,,,,NA,NA
5,M,female,,recently,1,0,0,1,0,0,Y,1
5,N,female,,recently,1,0,0,1,0,0,Y,1
5,O,female,,recently,2,1,0,1,0.5,0.5,Y,0.5
5,P,female,,recently,1,0,0,1,0,0,Y,1
5,Q,female,,recently,1,1,0,1,1,1,Y,1
5,R,female,,recently,5,1,4,4,0.2,0.05,N,0.2
5,S,female,,distantly,2,1,1,2,0.5,0.25,Y,0.5
5,T,female,,distantly,2,0,1,2,0,0,Y,0.5
5,U,female,,distantly,4,3,1,2,0.75,0.375,Y,0.25
5,V,female,,distantly,1,0,0,1,0,0,Y,1
5,W,female,,distantly,1,0,0,1,0,0,Y,1
5,X,female,,distantly,1,0,0,1,0,0,Y,1
